종목코드,종목명,정규장종가,정규장거래량,시가총액,거래대금
000660,SK하이닉스,1824000,1247963,1332418073760000,2276284512000
005930,삼성전자,259000,4997870,1514186159472000,1294448330000
010170,대한광통신,18410,32176586,2862491000600,592370948260
009150,삼성전기,1400000,345974,104571174400000,484363600000
043260,성호전자,25550,9880022,1927794716400,252434562100
000500,가온전선,314500,762397,9365057401500,239773856500
005935,삼성전자우,195900,1206337,157184518667700,236321418300
001820,삼화콘덴서,143700,1319046,1493761500000,189546910200
028050,삼성E&A,52700,3402182,10329200000000,179294991400
001440,대한전선,31550,5382233,6183566403800,169809451150
046970,우리로,8320,16250238,364623991680,135201980160
035420,NAVER,197300,669411,30008219003700,132074790300
006340,대원전선,13980,9134737,1096233535680,127703623260
402340,SK스퀘어,1047000,117389,138124425906000,122906283000
000150,두산,1456000,76880,23578223760000,111937280000
005690,파미셀,12830,8573087,769851499620,109992706210
036930,주성엔지니어링,201000,494884,9342705321000,99471684000
007660,이수페타시스,100100,951651,7348262821900,95260265100
047040,대우건설,19290,4931598,7926408337020,95130525420
001210,금호전기,11700,7966310,145776664800,93205827000
125490,한라캐스트,12320,7018895,449708976640,86472786400
024840,KBI메탈,6460,12493982,279661384560,80711123720
034020,두산에너빌리티,85900,924369,55024202441400,79403297100
017900,광전자,10760,6608252,623474889880,71104791520
356680,엑스게이트,17580,3847365,501794589360,67636676700
950260,인제니아테라퓨틱스(Reg.S),18120,3705365,895936278840,67141213800
218410,RFHIC,61800,1060732,1642362315600,65553237600
105560,KB금융,176200,327251,62495978730800,57661626200
010120,LS ELECTRIC,207000,273820,31050000000000,56680740000
005380,현대차,366500,151521,75043721239000,55532446500
119850,지엔씨에너지,55500,999086,912914449500,55449273000
298040,효성중공업,2903000,18763,27069162844000,54468989000
006360,GS건설,38150,1423153,3264933843500,54293286950
272210,한화시스템,79600,678494,15037983364400,54008122400
032820,우리기술,13950,3748394,2410345337400,52290096300
012450,한화에어로스페이스,1104000,45726,56925994704000,50481504000
042370,비츠로테크,11250,4428855,294750281250,49824618750
327260,RF머트리얼즈,48900,1014110,879654227100,49589979000
278470,에이피알,371500,129089,13908274582500,47956563500
006400,삼성SDI,540000,81782,43516186200000,44162280000
011070,LG이노텍,533000,82484,12614568031000,43963972000
062040,산일전기,208500,205301,6389034225000,42805258500
229640,LS에코에너지,60900,679994,1865055131100,41411634600
103590,일진전기,76300,542067,3638395257000,41359712100
475150,SK이터닉스,51300,773614,1747637305200,39686398200
067310,하나마이크론,38750,1018741,2576521173750,39476213750
456010,아이씨티케이,22750,1728162,329928462500,39315685500
000990,DB하이텍,125200,308292,5446774417600,38598158400
072950,빛샘전자,13530,2844921,108951813300,38491781130
093370,후성,14480,2616903,1553057178400,37892755440
052690,한전기술,138200,272385,5282004000000,37643607000
042700,한미반도체,230500,160298,21969462100000,36948689000
353200,대덕전자,103100,355482,5094884967500,36650194200
240810,원익IPS,118300,303440,5806625488300,35896952000
055550,신한지주,111400,310276,52296756624600,34564746400
000720,현대건설,126300,268849,14064233119500,33955628700
096770,SK이노베이션,137400,246303,23227853071200,33842032200
217590,티엠씨,14730,2273151,354907934250,33483514230
052710,아모텍,17150,1924090,320375720000,32998143500
066570,LG전자,199200,159060,32446619889600,31684752000
002990,금호건설,13730,2296314,511579443020,31528391220
347700,스피어,23750,1316560,1224344847500,31268300000
006260,LS,326000,95426,10171200000000,31108876000
069540,빛과전자,4170,7456668,469925210490,31094305560
201490,미투온,4180,7390389,136785174680,30891826020
012330,현대모비스,381500,80062,34266553177500,30543653000
222800,심텍,125600,242547,4769563036800,30463903200
267260,HD현대일렉트릭,729000,41150,26278361415000,29998350000
086790,하나금융지주,135200,211359,36635131832000,28575736800
332570,PS일렉트로닉스,9090,3126567,417600081270,28420494030
079550,LIG디펜스앤에어로스페이스,728000,38396,16016000000000,27952288000
115440,우리넷,10040,2784002,108374691680,27951380080
319400,현대무벡스,22700,1230292,2528236085300,27927628400
050890,쏠리드,10010,2774136,608172905340,27769101360
108490,로보티즈,305500,90647,4480777054000,27692658500
457370,한켐,11700,2349295,94385467800,27486751500
321370,센서뷰,1809,14880534,127755652059,26918886006
098460,고영,28050,948768,1913128174650,26612942400
036540,SFA반도체,8980,2904340,1476853520940,26080973200
196170,알테오젠,254500,99754,17727231348500,25387393000
080220,제주반도체,73300,345989,2524659658900,25360993700
126730,코칩,24000,1055071,210483024000,25321704000
032830,삼성생명,284000,88977,56800000000000,25269468000
267250,HD현대,210500,118961,16628044392500,25041290500
007610,선도전기,4945,5059320,89010000000,25018337400
003490,대한항공,29000,851585,10678397661000,24695965000
003350,한국화장품제조,15730,1557820,356441800000,24504508600
082740,한화엔진,52300,467867,4364285526600,24469444100
403870,HPSP,53500,454137,4403050000000,24296329500
017670,SK텔레콤,88900,271778,19094835711700,24161064200
265740,엔에프씨,8250,2879431,147374700000,23755305750
316140,우리금융지주,36200,650372,26671673363400,23543466400
128940,한미약품,511000,45536,6546416401000,23268896000
078350,한양디지텍,24300,956410,370438482600,23240763000
131970,두산테스나,84600,273770,1635084334800,23160942000
478340,나라스페이스테크놀로지,13920,1654475,161056251360,23030292000
483650,달바글로벌,182100,125517,2280969121500,22856645700
030530,원익홀딩스,25600,873448,1977292313600,22360268800
329180,HD현대중공업,461000,48253,48387124725000,22244633000
373220,LG에너지솔루션,363500,60674,85059000000000,22054999000
000270,기아,121700,181176,47513261856600,22049119200
028260,삼성물산,354000,62258,57407323674000,22039332000
375500,DL이앤씨,87500,249172,3385692012500,21802550000
417200,LS머트리얼즈,13830,1541464,935636273970,21318447120
004310,현대약품,10220,2071363,327040000000,21169329860
005490,POSCO홀딩스,325500,64817,25793117038500,21097933500
066970,엘앤에프,111100,183252,4520235042400,20359297200
034730,SK,537000,37607,38933951511000,20194959000
068270,셀트리온,179800,109656,41824568244800,19716148800
322000,HD현대에너지솔루션,127800,153916,1431360000000,19670464800
000810,삼성화재,659000,29671,29422684707000,19553189000
010950,S-Oil,151600,127106,17067551267200,19269269600
175330,JB금융지주,31150,616144,5810154817600,19192885600
005830,DB손해보험,189200,99635,12392666030800,18850942000
027360,아주IB투자,3900,4830307,472467083400,18838197300
386380,스카이랩스,20250,929741,379930034250,18827255250
035720,카카오,33500,532507,14840496750500,17838984500
012200,계양전기,4295,4132937,116922050555,17750964415
443670,에스피소프트,5730,3029954,137580531720,17361636420
417030,니어스랩,32000,537496,184881792000,17199872000
003230,삼양식품,1299000,13230,9785386485000,17185770000
160190,하이젠알앤엠,26500,630618,818532000000,16711377000
042660,한화오션,83700,196858,25646801077800,16477014600
086520,에코프로,81800,198845,11106489233600,16265521000
009155,삼성전기우,511000,30071,1485468824000,15366281000
