종목코드,종목명,전일종가,전일거래량,시가총액,거래대금
005930,삼성전자,272500,11596573,1593110920680000,3160066142500
000660,SK하이닉스,1870000,1401010,1366020722550000,2619888700000
005935,삼성전자우,207500,2536533,166492024622500,526330597500
009150,삼성전기,1417000,300887,105840967232000,426356879000
0161M0,네오사피엔스,26950,14851220,329217022750,400240379000
402340,SK스퀘어,1124000,297977,148282573752000,334926148000
067310,하나마이크론,44050,5112565,2928922779450,225208488250
386380,스카이랩스,25250,8828428,473739919250,222917807000
036540,SFA반도체,10720,20115650,1763014448160,215639768000
010170,대한광통신,17750,10084036,2759870465000,178991639000
017900,광전자,11070,14509222,641437456410,160617087540
240810,원익IPS,128800,1095584,6322006448800,141111219200
437730,삼현,58100,2296748,1842209642700,133441058800
001820,삼화콘덴서,146100,890998,1518709500000,130174807800
232140,와이씨,13770,7687129,1129764469500,105851766330
043260,성호전자,26700,3934008,2014564341600,105038013600
032830,삼성생명,291000,345483,58200000000000,100535553000
007660,이수페타시스,108400,887995,7957559339600,96258658000
272210,한화시스템,78500,1146032,14830172036500,89963512000
475830,오름테라퓨틱,29050,3023986,631922209800,87846793300
036930,주성엔지니어링,206500,414150,9598351486500,85521975000
034020,두산에너빌리티,85800,919231,54960146326800,78870019800
006400,삼성SDI,533000,143672,42952087490000,76577176000
079550,LIG디펜스앤에어로스페이스,748000,96908,16456000000000,72487184000
000500,가온전선,311500,230594,9275724580500,71830031000
005380,현대차,360000,196915,73712795760000,70889400000
950260,인제니아테라퓨틱스(Reg.S),20050,3384651,991364370350,67862252550
000150,두산,1429000,47103,23140990215000,67310187000
373220,LG에너지솔루션,352750,187786,82543500000000,66241511500
001440,대한전선,30100,2197635,5899377139600,66148813500
047040,대우건설,18550,3379129,7622336684900,62682842950
012450,한화에어로스페이스,1072000,57153,55275965872000,61268016000
105560,KB금융,177800,341882,63063479105200,60786619600
030530,원익홀딩스,26750,2260499,2066115991750,60468348250
032820,우리기술,13760,4270431,2377516261120,58761130560
041190,우리기술투자,5850,9801218,466830000000,57337125300
028260,삼성물산,368000,143110,59677669808000,52664480000
035420,NAVER,197200,261599,29993009566800,51587322800
028050,삼성E&A,51800,992131,10152800000000,51392385800
356680,엑스게이트,18310,2742001,522631338520,50206038310
403870,HPSP,54300,913520,4468890000000,49604136000
003160,디아이,35350,1392512,1000405000000,49225299200
204270,제이앤티씨,24900,1970592,1440426803400,49067740800
218410,RFHIC,60300,800698,1602499152600,48282089400
055550,신한지주,113300,415749,53188712078700,47104361700
096770,SK이노베이션,140300,321660,23718106156400,45128898000
080220,제주반도체,75100,588491,2586656758300,44195674100
462860,더즌,3145,13967509,225710683935,43927815805
066570,LG전자,200500,212506,32658369919000,42607453000
